t,i,num_sampled,num_new_elements,total_sample_size
1,1,2,2,2
1,2,3,2,4
1,3,1,0,4
1,4,2,1,5
1,5,1,0,5
1,6,2,1,6
1,7,1,0,6
1,8,2,1,7
1,9,3,2,9
1,10,1,0,9
1,11,4,2,11
1,12,4,2,13
1,13,3,2,15
1,14,4,2,17
1,15,1,0,17
1,16,3,1,18
1,17,3,2,20
1,18,4,1,21
1,19,1,0,21
1,20,4,2,23
1,21,1,0,23
1,22,2,0,23
1,23,5,2,25
1,24,1,0,25
1,25,4,1,26
2,1,2,2,2
2,2,1,0,2
2,3,2,1,3
2,4,1,0,3
2,5,1,0,3
2,6,2,1,4
2,7,1,0,4
2,8,2,0,4
2,9,2,1,5
2,10,1,0,5
2,11,1,0,5
2,12,2,1,6
2,13,3,2,8
2,14,2,0,8
2,15,1,0,8
2,16,2,1,9
2,17,1,0,9
2,18,3,1,10
2,19,4,2,12
2,20,2,1,13
2,21,2,1,14
2,22,2,1,15
2,23,2,1,16
2,24,2,1,17
2,25,2,1,18
3,1,3,3,3
3,2,2,1,4
3,3,2,1,5
3,4,2,1,6
3,5,2,0,6
3,6,2,0,6
3,7,2,1,7
3,8,2,1,8
3,9,1,0,8
3,10,1,0,8
3,11,3,2,10
3,12,4,2,12
3,13,2,1,13
3,14,3,2,15
3,15,1,0,15
3,16,4,2,17
3,17,2,0,17
3,18,2,0,17
3,19,3,1,18
3,20,1,0,18
3,21,3,1,19
3,22,2,0,19
3,23,2,0,19
3,24,3,1,20
3,25,5,2,22
4,1,1,1,1
4,2,2,1,2
4,3,2,1,3
4,4,2,1,4
4,5,2,1,5
4,6,2,1,6
4,7,2,0,6
4,8,4,3,9
4,9,5,3,12
4,10,2,1,13
4,11,1,0,13
4,12,4,2,15
4,13,2,1,16
4,14,2,1,17
4,15,2,1,18
4,16,2,0,18
4,17,2,0,18
4,18,4,1,19
4,19,4,2,21
4,20,2,0,21
4,21,2,1,22
4,22,5,2,24
4,23,2,0,24
4,24,3,0,24
4,25,2,1,25
5,1,1,1,1
5,2,1,0,1
5,3,2,1,2
5,4,4,3,5
5,5,2,1,6
5,6,2,0,6
5,7,2,0,6
5,8,3,1,7
5,9,2,1,8
5,10,5,3,11
5,11,4,1,12
5,12,2,1,13
5,13,3,2,15
5,14,1,0,15
5,15,2,1,16
5,16,2,0,16
5,17,3,2,18
5,18,5,1,19
5,19,1,0,19
5,20,5,2,21
5,21,2,0,21
5,22,5,1,22
5,23,3,1,23
5,24,3,2,25
5,25,3,1,26
6,1,3,3,3
6,2,2,1,4
6,3,2,1,5
6,4,4,3,8
6,5,5,4,12
6,6,3,2,14
6,7,2,1,15
6,8,4,3,18
6,9,2,1,19
6,10,2,1,20
6,11,2,1,21
6,12,1,0,21
6,13,5,3,24
6,14,4,2,26
6,15,3,2,28
6,16,5,1,29
6,17,3,2,31
6,18,5,2,33
6,19,3,0,33
6,20,2,0,33
6,21,5,2,35
6,22,3,0,35
6,23,3,1,36
6,24,6,2,38
6,25,7,5,43
7,1,4,4,4
7,2,4,3,7
7,3,3,2,9
7,4,4,2,11
7,5,2,1,12
7,6,3,1,13
7,7,4,2,15
7,8,2,0,15
7,9,5,2,17
7,10,3,1,18
7,11,5,2,20
7,12,1,0,20
7,13,3,1,21
7,14,2,0,21
7,15,3,2,23
7,16,4,2,25
7,17,2,0,25
7,18,1,0,25
7,19,2,1,26
7,20,6,4,30
7,21,1,0,30
7,22,5,2,32
7,23,3,0,32
7,24,4,2,34
7,25,4,3,37
8,1,3,3,3
8,2,4,2,5
8,3,3,2,7
8,4,3,1,8
8,5,2,1,9
8,6,2,1,10
8,7,3,2,12
8,8,3,2,14
8,9,4,3,17
8,10,1,0,17
8,11,3,2,19
8,12,2,0,19
8,13,4,2,21
8,14,3,1,22
8,15,4,1,23
8,16,3,1,24
8,17,2,1,25
8,18,6,4,29
8,19,6,3,32
8,20,3,1,33
8,21,2,0,33
8,22,6,3,36
8,23,6,2,38
8,24,6,4,42
8,25,3,1,43
9,1,4,4,4
9,2,2,1,5
9,3,2,1,6
9,4,2,1,7
9,5,1,0,7
9,6,2,0,7
9,7,2,1,8
9,8,3,1,9
9,9,4,3,12
9,10,6,4,16
9,11,2,1,17
9,12,5,3,20
9,13,3,1,21
9,14,2,0,21
9,15,1,0,21
9,16,3,1,22
9,17,3,2,24
9,18,1,0,24
9,19,3,1,25
9,20,2,1,26
9,21,4,0,26
9,22,4,2,28
9,23,4,1,29
9,24,3,2,31
9,25,3,2,33
10,1,4,4,4
10,2,4,3,7
10,3,2,1,8
10,4,5,2,10
10,5,2,1,11
10,6,3,1,12
10,7,2,1,13
10,8,3,2,15
10,9,2,1,16
10,10,4,1,17
10,11,3,2,19
10,12,3,0,19
10,13,3,0,19
10,14,3,1,20
10,15,9,4,24
10,16,2,1,25
10,17,1,0,25
10,18,3,0,25
10,19,6,4,29
10,20,2,1,30
10,21,3,1,31
10,22,6,3,34
10,23,5,3,37
