t,num_sampled,num_new_elements,total_sample_size
1,183,182,183
2,302,210,393
3,328,218,611
4,324,108,719
5,300,109,828
6,346,75,903
7,298,56,959
8,331,36,995
9,351,22,1017
10,271,8,1025
11,322,8,1033
12,236,8,1041
