t,i,num_sampled,num_new_elements,total_sample_size
1,1,9,9,9
1,2,11,10,19
1,3,11,10,29
1,4,12,11,40
1,5,13,10,50
1,6,16,14,64
1,7,15,11,75
1,8,21,16,91
1,9,15,12,103
1,10,20,14,117
1,11,16,13,130
1,12,14,12,142
1,13,20,14,156
1,14,20,11,167
1,15,19,16,183
1,16,21,15,198
1,17,14,10,208
1,18,23,19,227
1,19,14,10,237
1,20,21,12,249
1,21,25,18,267
1,22,25,16,283
1,23,23,14,297
1,24,18,10,307
1,25,20,16,323
2,1,10,10,10
2,2,12,11,21
2,3,12,11,32
2,4,13,12,44
2,5,25,21,65
2,6,10,9,74
2,7,18,17,91
2,8,19,14,105
2,9,15,13,118
2,10,19,16,134
2,11,15,13,147
2,12,28,23,170
2,13,20,16,186
2,14,21,16,202
2,15,17,13,215
2,16,29,20,235
2,17,19,12,247
2,18,30,23,270
2,19,23,14,284
2,20,27,22,306
2,21,32,22,328
2,22,28,19,347
2,23,25,15,362
2,24,34,23,385
2,25,32,17,402
3,1,18,18,18
3,2,19,18,36
3,3,12,11,47
3,4,16,15,62
3,5,17,14,76
3,6,18,17,93
3,7,19,16,109
3,8,20,17,126
3,9,21,15,141
3,10,23,18,159
3,11,25,16,175
3,12,24,17,192
3,13,13,12,204
3,14,22,14,218
3,15,25,15,233
3,16,26,14,247
3,17,24,19,266
3,18,27,18,284
3,19,30,19,303
3,20,18,14,317
3,21,23,9,326
3,22,29,15,341
3,23,27,14,355
3,24,25,10,365
3,25,28,18,383
4,1,10,10,10
4,2,15,12,22
4,3,25,24,46
4,4,16,13,59
4,5,17,15,74
4,6,12,7,81
4,7,15,12,93
4,8,12,9,102
4,9,9,8,110
4,10,14,9,119
4,11,16,13,132
4,12,21,16,148
4,13,24,20,168
4,14,24,20,188
4,15,23,19,207
4,16,18,15,222
4,17,25,17,239
4,18,14,9,248
4,19,19,12,260
4,20,22,13,273
4,21,26,16,289
4,22,25,13,302
4,23,28,21,323
4,24,22,13,336
4,25,21,16,352
5,1,10,10,10
5,2,11,10,20
5,3,7,5,25
5,4,16,14,39
5,5,19,15,54
5,6,14,12,66
5,7,21,18,84
5,8,21,18,102
5,9,24,17,119
5,10,23,17,136
5,11,17,11,147
5,12,19,13,160
5,13,17,11,171
5,14,22,15,186
5,15,21,14,200
5,16,18,12,212
5,17,18,11,223
5,18,27,16,239
5,19,22,17,256
5,20,18,10,266
5,21,22,13,279
5,22,23,17,296
5,23,21,14,310
5,24,20,12,322
5,25,24,13,335
6,1,19,19,19
6,2,15,14,33
6,3,21,20,53
6,4,14,10,63
6,5,17,15,78
6,6,15,11,89
6,7,14,13,102
6,8,20,16,118
6,9,15,13,131
6,10,25,22,153
6,11,22,15,168
6,12,16,10,178
6,13,24,17,195
6,14,18,11,206
6,15,19,10,216
6,16,26,18,234
6,17,28,20,254
6,18,20,12,266
6,19,23,11,277
6,20,22,14,291
6,21,35,26,317
6,22,23,15,332
6,23,33,18,350
6,24,20,11,361
6,25,34,22,383
7,1,15,15,15
7,2,7,5,20
7,3,10,9,29
7,4,21,19,48
7,5,18,16,64
7,6,24,18,82
7,7,19,18,100
7,8,24,19,119
7,9,21,18,137
7,10,16,12,149
7,11,21,15,164
7,12,17,12,176
7,13,23,18,194
7,14,12,9,203
7,15,17,10,213
7,16,24,18,231
7,17,26,18,249
7,18,20,15,264
7,19,33,24,288
7,20,22,15,303
7,21,27,16,319
7,22,29,17,336
7,23,27,19,355
7,24,40,24,379
7,25,25,16,395
8,1,11,11,11
8,2,11,10,21
8,3,17,16,37
8,4,16,13,50
8,5,11,6,56
8,6,18,15,71
8,7,16,13,84
8,8,15,11,95
8,9,17,14,109
8,10,13,10,119
8,11,23,16,135
8,12,16,12,147
8,13,10,5,152
8,14,18,11,163
8,15,16,11,174
8,16,23,20,194
8,17,22,13,207
8,18,20,11,218
8,19,22,16,234
8,20,24,16,250
8,21,25,17,267
8,22,29,16,283
8,23,26,17,300
8,24,28,20,320
8,25,29,16,336
9,1,11,11,11
9,2,12,11,22
9,3,12,11,33
9,4,19,17,50
9,5,12,11,61
9,6,19,16,77
9,7,13,11,88
9,8,17,14,102
9,9,18,15,117
9,10,20,15,132
9,11,23,20,152
9,12,22,15,167
9,13,24,16,183
9,14,16,12,195
9,15,20,16,211
