t,num_sampled,num_new_elements,total_sample_size
1,47,46,47
2,114,104,151
3,147,132,283
4,158,113,396
5,217,195,591
6,213,173,764
7,300,281,1045
8,328,300,1345
9,334,321,1666
10,236,217,1883
11,390,367,2250
12,265,238,2488
13,386,321,2809
14,311,301,3110
15,294,269,3379
16,252,225,3604
17,177,160,3764
18,264,231,3995
19,270,250,4245
20,412,400,4645
21,295,281,4926
22,278,219,5145
23,325,318,5463
24,379,348,5811
25,401,394,6205
26,356,320,6525
27,230,209,6734
28,247,241,6975
29,239,223,7198
30,290,289,7487
31,309,303,7790
32,363,344,8134
33,459,425,8559
34,420,401,8960
35,363,358,9318
36,386,371,9689
37,408,401,10090
38,267,254,10344
39,260,255,10599
40,453,443,11042
41,354,351,11393
42,621,618,12011
43,447,434,12445
44,423,404,12849
45,352,329,13178
46,398,367,13545
47,506,482,14027
48,559,547,14574
49,612,611,15185
50,546,526,15711
