t,i,num_sampled,num_new_elements,total_sample_size
1,1,80,80,80
1,2,86,78,158
1,3,81,68,226
1,4,80,71,297
1,5,87,73,370
1,6,87,72,442
1,7,83,72,514
1,8,96,86,600
1,9,96,77,677
1,10,89,73,750
1,11,92,72,822
1,12,87,70,892
1,13,92,77,969
1,14,96,78,1047
1,15,89,74,1121
1,16,95,74,1195
1,17,92,71,1266
1,18,94,77,1343
1,19,96,78,1421
1,20,92,68,1489
1,21,90,70,1559
1,22,98,72,1631
1,23,93,70,1701
1,24,92,68,1769
1,25,95,67,1836
1,26,91,73,1909
1,27,95,73,1982
1,28,94,74,2056
1,29,90,67,2123
1,30,90,72,2195
1,31,90,59,2254
1,32,96,74,2328
1,33,89,65,2393
1,34,89,58,2451
1,35,93,65,2516
1,36,92,69,2585
1,37,92,68,2653
1,38,87,64,2717
1,39,90,71,2788
1,40,85,62,2850
1,41,94,71,2921
1,42,96,68,2989
1,43,97,70,3059
1,44,93,72,3131
1,45,86,63,3194
1,46,91,69,3263
1,47,91,73,3336
1,48,99,70,3406
1,49,95,71,3477
1,50,90,64,3541
2,1,68,68,68
2,2,74,66,134
2,3,69,56,190
2,4,87,68,258
2,5,81,68,326
2,6,82,68,394
2,7,85,71,465
2,8,85,67,532
2,9,85,65,597
2,10,88,67,664
2,11,88,64,728
2,12,86,63,791
2,13,91,69,860
2,14,89,68,928
2,15,84,64,992
2,16,85,65,1057
2,17,94,69,1126
2,18,90,70,1196
2,19,91,67,1263
2,20,90,68,1331
2,21,92,72,1403
2,22,87,68,1471
2,23,91,70,1541
2,24,95,77,1618
2,25,92,67,1685
2,26,87,68,1753
2,27,85,67,1820
2,28,89,72,1892
2,29,92,71,1963
2,30,85,57,2020
2,31,90,63,2083
2,32,88,66,2149
2,33,90,69,2218
2,34,87,61,2279
2,35,86,65,2344
2,36,90,61,2405
2,37,88,66,2471
2,38,85,64,2535
2,39,88,64,2599
2,40,89,67,2666
2,41,91,68,2734
2,42,92,61,2795
2,43,93,70,2865
2,44,88,69,2934
2,45,91,64,2998
2,46,87,67,3065
2,47,95,76,3141
2,48,93,66,3207
2,49,95,67,3274
2,50,95,69,3343
3,1,67,67,67
3,2,73,66,133
3,3,86,79,212
3,4,78,61,273
3,5,79,65,338
3,6,81,64,402
3,7,82,72,474
3,8,81,62,536
3,9,92,78,614
3,10,91,73,687
3,11,85,60,747
3,12,85,65,812
3,13,80,58,870
3,14,79,64,934
3,15,82,66,1000
3,16,87,71,1071
3,17,89,70,1141
3,18,91,71,1212
3,19,91,75,1287
3,20,90,75,1362
3,21,85,73,1435
3,22,90,65,1500
3,23,92,68,1568
3,24,91,64,1632
3,25,85,61,1693
3,26,84,63,1756
3,27,92,73,1829
3,28,91,71,1900
3,29,83,61,1961
3,30,92,76,2037
3,31,85,64,2101
3,32,87,65,2166
3,33,91,63,2229
3,34,94,70,2299
3,35,78,52,2351
3,36,85,60,2411
3,37,91,62,2473
3,38,91,61,2534
3,39,87,62,2596
3,40,86,60,2656
3,41,94,68,2724
3,42,93,65,2789
3,43,90,61,2850
3,44,87,63,2913
3,45,81,57,2970
3,46,91,66,3036
3,47,89,58,3094
3,48,89,68,3162
3,49,88,66,3228
3,50,83,62,3290
4,1,85,85,85
4,2,87,84,169
4,3,80,66,235
4,4,86,70,305
4,5,89,70,375
4,6,79,65,440
4,7,85,65,505
4,8,91,71,576
4,9,84,66,642
4,10,89,74,716
4,11,85,67,783
4,12,84,64,847
4,13,85,65,912
4,14,90,63,975
4,15,95,75,1050
4,16,87,69,1119
4,17,89,69,1188
4,18,91,67,1255
4,19,88,67,1322
4,20,90,64,1386
4,21,83,61,1447
4,22,88,71,1518
4,23,89,70,1588
4,24,94,67,1655
4,25,91,62,1717
4,26,91,72,1789
4,27,92,65,1854
4,28,90,76,1930
4,29,94,72,2002
4,30,91,70,2072
4,31,90,65,2137
4,32,90,73,2210
4,33,92,71,2281
4,34,91,65,2346
4,35,92,67,2413
4,36,95,78,2491
4,37,93,67,2558
4,38,86,67,2625
4,39,91,66,2691
4,40,94,66,2757
4,41,95,77,2834
4,42,95,70,2904
4,43,93,77,2981
4,44,90,70,3051
4,45,85,61,3112
4,46,86,59,3171
4,47,94,70,3241
4,48,94,72,3313
4,49,87,58,3371
4,50,93,65,3436
5,1,85,85,85
5,2,87,83,168
5,3,85,72,240
5,4,83,74,314
5,5,91,71,385
5,6,86,67,452
5,7,92,76,528
5,8,80,66,594
5,9,91,71,665
5,10,91,70,735
5,11,92,74,809
5,12,89,73,882
5,13,88,69,951
5,14,90,69,1020
5,15,98,75,1095
5,16,93,76,1171
5,17,95,77,1248
5,18,88,63,1311
5,19,94,69,1380
5,20,94,69,1449
5,21,92,68,1517
5,22,93,70,1587
5,23,90,64,1651
5,24,84,63,1714
5,25,95,64,1778
5,26,91,63,1841
5,27,96,75,1916
5,28,92,72,1988
5,29,96,77,2065
5,30,93,67,2132
5,31,95,68,2200
5,32,91,66,2266
5,33,94,72,2338
5,34,92,71,2409
5,35,89,68,2477
5,36,92,73,2550
5,37,94,72,2622
5,38,89,61,2683
5,39,90,61,2744
5,40,88,65,2809
5,41,89,62,2871
5,42,90,68,2939
5,43,93,68,3007
5,44,89,67,3074
5,45,94,71,3145
5,46,89,72,3217
5,47,91,74,3291
5,48,92,70,3361
5,49,90,63,3424
5,50,95,71,3495
6,1,73,73,73
6,2,85,82,155
6,3,90,80,235
6,4,89,76,311
6,5,87,74,385
6,6,95,79,464
6,7,90,71,535
6,8,86,75,610
6,9,92,79,689
6,10,92,75,764
6,11,90,65,829
6,12,86,70,899
6,13,94,74,973
6,14,91,71,1044
6,15,88,66,1110
6,16,90,67,1177
6,17,86,68,1245
6,18,94,79,1324
6,19,91,77,1401
6,20,90,72,1473
6,21,90,73,1546
6,22,85,66,1612
6,23,88,73,1685
6,24,91,67,1752
