t,i,num_sampled,num_new_elements,total_sample_size
1,1,535,535,535
1,2,684,526,1061
1,3,739,513,1574
1,4,765,483,2057
1,5,779,494,2551
1,6,799,486,3037
1,7,808,463,3500
1,8,827,441,3941
1,9,827,459,4400
1,10,797,422,4822
1,11,822,435,5257
1,12,842,430,5687
1,13,834,435,6122
1,14,855,433,6555
1,15,842,413,6968
2,1,549,549,549
2,2,698,533,1082
2,3,750,513,1595
2,4,777,499,2094
2,5,800,485,2579
2,6,775,437,3016
2,7,806,465,3481
2,8,822,476,3957
2,9,817,429,4386
2,10,805,422,4808
2,11,828,404,5212
2,12,814,409,5621
2,13,820,420,6041
2,14,829,430,6471
2,15,814,381,6852
3,1,541,541,541
3,2,697,531,1072
3,3,767,528,1600
3,4,780,520,2120
3,5,813,516,2636
3,6,784,469,3105
3,7,798,473,3578
3,8,800,462,4040
3,9,831,454,4494
3,10,823,459,4953
3,11,822,414,5367
3,12,836,427,5794
3,13,838,418,6212
3,14,844,427,6639
3,15,865,424,7063
4,1,529,529,529
4,2,676,500,1029
4,3,747,513,1542
4,4,752,481,2023
4,5,788,486,2509
4,6,812,461,2970
4,7,803,450,3420
4,8,791,455,3875
4,9,783,418,4293
4,10,846,447,4740
4,11,814,437,5177
4,12,830,404,5581
4,13,828,427,6008
4,14,829,400,6408
4,15,824,420,6828
5,1,523,523,523
5,2,675,508,1031
5,3,749,513,1544
5,4,745,468,2012
5,5,790,486,2498
5,6,790,457,2955
5,7,816,466,3421
5,8,824,463,3884
5,9,806,459,4343
5,10,810,448,4791
5,11,823,421,5212
5,12,837,428,5640
5,13,835,411,6051
5,14,859,419,6470
5,15,830,392,6862
6,1,525,525,525
6,2,686,508,1033
6,3,716,482,1515
6,4,763,483,1998
6,5,752,435,2433
6,6,774,455,2888
6,7,786,458,3346
6,8,796,435,3781
6,9,810,424,4205
6,10,830,446,4651
6,11,831,429,5080
6,12,827,449,5529
6,13,834,412,5941
6,14,834,415,6356
6,15,810,392,6748
7,1,529,529,529
7,2,705,543,1072
7,3,744,496,1568
7,4,763,498,2066
7,5,775,485,2551
7,6,787,454,3005
7,7,785,442,3447
7,8,823,466,3913
7,9,816,452,4365
7,10,832,448,4813
7,11,815,425,5238
7,12,813,407,5645
7,13,823,417,6062
7,14,836,415,6477
7,15,839,390,6867
8,1,540,540,540
8,2,691,525,1065
8,3,732,519,1584
8,4,761,496,2080
8,5,779,474,2554
8,6,807,478,3032
8,7,809,473,3505
8,8,825,470,3975
8,9,834,457,4432
8,10,837,461,4893
8,11,828,427,5320
8,12,840,442,5762
8,13,834,397,6159
8,14,860,428,6587
8,15,827,396,6983
9,1,478,478,478
9,2,631,479,957
9,3,691,454,1411
