t,i,num_sampled,num_new_elements,total_sample_size
1,1,87,87,87
1,2,80,79,166
1,3,86,82,248
1,4,85,81,329
1,5,87,83,412
1,6,85,80,492
1,7,89,85,577
1,8,89,84,661
1,9,84,81,742
1,10,86,79,821
1,11,87,73,894
1,12,95,88,982
1,13,91,83,1065
1,14,84,78,1143
1,15,92,84,1227
1,16,90,79,1306
1,17,87,76,1382
1,18,93,87,1469
1,19,94,85,1554
1,20,91,79,1633
1,21,91,78,1711
1,22,90,78,1789
1,23,91,80,1869
1,24,90,76,1945
1,25,91,77,2022
1,26,86,77,2099
1,27,93,85,2184
1,28,92,78,2262
1,29,94,75,2337
1,30,89,76,2413
1,31,90,80,2493
1,32,92,77,2570
1,33,94,85,2655
1,34,95,81,2736
1,35,94,82,2818
1,36,91,80,2898
1,37,92,76,2974
1,38,94,79,3053
1,39,90,76,3129
1,40,94,77,3206
1,41,88,75,3281
1,42,92,77,3358
1,43,87,74,3432
1,44,95,79,3511
1,45,92,79,3590
1,46,93,80,3670
1,47,94,72,3742
1,48,92,68,3810
1,49,93,78,3888
1,50,95,75,3963
2,1,85,85,85
2,2,81,79,164
2,3,91,87,251
2,4,84,78,329
2,5,85,76,405
2,6,87,83,488
2,7,85,80,568
2,8,91,90,658
2,9,91,82,740
2,10,85,77,817
2,11,84,74,891
2,12,92,88,979
2,13,82,79,1058
2,14,88,74,1132
2,15,80,67,1199
2,16,93,84,1283
2,17,89,78,1361
2,18,88,79,1440
2,19,86,74,1514
2,20,87,74,1588
2,21,84,75,1663
2,22,87,72,1735
2,23,91,79,1814
2,24,89,77,1891
2,25,87,75,1966
2,26,83,68,2034
2,27,87,77,2111
2,28,93,82,2193
2,29,90,69,2262
2,30,88,71,2333
2,31,81,65,2398
2,32,92,72,2470
2,33,92,76,2546
2,34,92,73,2619
2,35,81,68,2687
2,36,92,75,2762
2,37,87,76,2838
2,38,94,78,2916
2,39,92,81,2997
2,40,84,70,3067
2,41,90,75,3142
2,42,92,74,3216
2,43,85,69,3285
2,44,91,74,3359
2,45,86,71,3430
2,46,91,75,3505
2,47,89,73,3578
2,48,86,71,3649
2,49,92,78,3727
2,50,95,77,3804
3,1,76,76,76
3,2,73,70,146
3,3,82,77,223
3,4,80,78,301
3,5,83,77,378
3,6,80,74,452
3,7,77,69,521
3,8,80,75,596
3,9,83,78,674
3,10,91,80,754
3,11,86,82,836
3,12,82,75,911
3,13,76,71,982
3,14,82,71,1053
3,15,77,65,1118
3,16,84,78,1196
3,17,92,80,1276
3,18,80,70,1346
3,19,87,78,1424
3,20,85,67,1491
3,21,86,73,1564
3,22,87,73,1637
3,23,85,77,1714
3,24,84,73,1787
3,25,87,72,1859
3,26,85,71,1930
3,27,84,77,2007
3,28,89,74,2081
3,29,89,70,2151
3,30,86,68,2219
3,31,82,63,2282
3,32,86,74,2356
3,33,86,66,2422
3,34,85,69,2491
3,35,88,75,2566
3,36,89,75,2641
3,37,92,76,2717
3,38,89,74,2791
3,39,88,65,2856
3,40,92,75,2931
3,41,88,75,3006
3,42,92,76,3082
3,43,88,66,3148
3,44,87,72,3220
3,45,81,65,3285
3,46,90,70,3355
3,47,90,73,3428
3,48,86,64,3492
3,49,89,69,3561
3,50,80,63,3624
4,1,79,79,79
4,2,86,84,163
4,3,82,80,243
4,4,82,77,320
4,5,79,77,397
4,6,79,70,467
4,7,88,85,552
4,8,76,72,624
4,9,84,77,701
4,10,80,73,774
4,11,79,75,849
4,12,80,76,925
4,13,86,77,1002
4,14,80,69,1071
4,15,92,80,1151
4,16,86,75,1226
4,17,87,73,1299
4,18,87,76,1375
4,19,84,67,1442
4,20,89,69,1511
4,21,88,79,1590
4,22,88,80,1670
4,23,84,73,1743
4,24,90,77,1820
4,25,91,80,1900
4,26,80,65,1965
4,27,84,67,2032
4,28,86,75,2107
4,29,83,72,2179
4,30,88,72,2251
4,31,88,72,2323
4,32,88,72,2395
4,33,88,73,2468
4,34,91,78,2546
4,35,88,71,2617
4,36,89,76,2693
4,37,86,74,2767
4,38,86,71,2838
4,39,86,67,2905
4,40,89,81,2986
4,41,92,75,3061
4,42,90,79,3140
4,43,86,68,3208
4,44,84,62,3270
4,45,86,68,3338
4,46,86,68,3406
4,47,85,72,3478
4,48,94,74,3552
4,49,93,78,3630
4,50,86,74,3704
5,1,83,83,83
5,2,75,73,156
5,3,81,79,235
5,4,72,66,301
5,5,86,80,381
5,6,79,75,456
5,7,77,66,522
5,8,78,69,591
5,9,83,76,667
5,10,87,81,748
5,11,85,77,825
5,12,85,75,900
5,13,84,77,977
5,14,85,76,1053
5,15,91,72,1125
5,16,76,66,1191
5,17,88,78,1269
5,18,86,70,1339
5,19,85,71,1410
5,20,88,76,1486
5,21,88,76,1562
5,22,88,74,1636
5,23,82,68,1704
5,24,88,76,1780
5,25,90,69,1849
5,26,85,70,1919
5,27,87,76,1995
5,28,91,75,2070
5,29,87,67,2137
5,30,83,76,2213
5,31,84,75,2288
5,32,85,69,2357
5,33,81,68,2425
5,34,79,66,2491
5,35,91,80,2571
5,36,91,71,2642
5,37,79,68,2710
5,38,84,69,2779
5,39,88,72,2851
5,40,85,70,2921
5,41,94,79,3000
5,42,93,77,3077
5,43,81,70,3147
5,44,89,71,3218
5,45,86,68,3286
5,46,91,74,3360
5,47,88,75,3435
5,48,86,71,3506
5,49,96,81,3587
5,50,86,70,3657
6,1,80,80,80
6,2,76,73,153
6,3,81,78,231
6,4,84,79,310
6,5,83,79,389
6,6,87,83,472
6,7,84,80,552
6,8,81,75,627
6,9,84,79,706
6,10,85,78,784
6,11,82,78,862
6,12,83,72,934
6,13,78,67,1001
6,14,79,70,1071
6,15,83,71,1142
6,16,84,77,1219
6,17,80,71,1290
6,18,83,76,1366
6,19,88,79,1445
6,20,85,70,1515
6,21,92,81,1596
6,22,81,65,1661
6,23,96,83,1744
6,24,92,82,1826
6,25,88,78,1904
6,26,90,75,1979
6,27,87,81,2060
6,28,84,71,2131
6,29,85,64,2195
6,30,89,78,2273
6,31,86,72,2345
6,32,81,71,2416
6,33,91,79,2495
6,34,91,73,2568
6,35,92,77,2645
6,36,84,73,2718
6,37,89,71,2789
6,38,90,76,2865
6,39,91,74,2939
6,40,84,73,3012
6,41,92,77,3089
6,42,91,75,3164
6,43,89,76,3240
6,44,90,75,3315
6,45,87,71,3386
6,46,84,74,3460
6,47,85,67,3527
6,48,86,63,3590
6,49,94,79,3669
6,50,93,73,3742
7,1,70,70,70
7,2,79,78,148
7,3,70,65,213
7,4,86,82,295
7,5,79,73,368
7,6,81,77,445
7,7,83,76,521
7,8,80,73,594
7,9,79,71,665
7,10,90,81,746
7,11,82,79,825
7,12,82,74,899
7,13,81,72,971
7,14,85,76,1047
7,15,86,76,1123
7,16,83,73,1196
7,17,77,66,1262
7,18,89,80,1342
7,19,86,73,1415
7,20,89,76,1491
7,21,82,68,1559
7,22,85,68,1627
7,23,83,75,1702
7,24,86,73,1775
7,25,90,75,1850
7,26,93,82,1932
7,27,86,67,1999
7,28,85,72,2071
7,29,90,76,2147
7,30,86,68,2215
7,31,90,81,2296
7,32,83,67,2363
7,33,94,78,2441
7,34,89,74,2515
7,35,86,72,2587
7,36,88,74,2661
7,37,88,78,2739
7,38,92,76,2815
7,39,88,71,2886
7,40,89,65,2951
7,41,90,67,3018
7,42,86,67,3085
7,43,91,81,3166
7,44,87,65,3231
7,45,84,71,3302
7,46,93,78,3380
7,47,88,72,3452
7,48,95,74,3526
7,49,84,72,3598
7,50,91,75,3673
8,1,79,79,79
8,2,74,72,151
8,3,81,78,229
8,4,79,77,306
8,5,82,77,383
8,6,79,77,460
8,7,87,79,539
8,8,73,70,609
8,9,74,68,677
8,10,86,81,758
8,11,81,76,834
8,12,86,76,910
8,13,85,76,986
8,14,88,79,1065
8,15,79,71,1136
8,16,79,73,1209
8,17,88,77,1286
8,18,88,78,1364
8,19,79,60,1424
8,20,91,81,1505
8,21,85,71,1576
8,22,88,81,1657
8,23,86,73,1730
8,24,86,77,1807
8,25,92,78,1885
8,26,83,69,1954
8,27,91,79,2033
8,28,90,77,2110
8,29,89,78,2188
8,30,88,76,2264
