t,i,num_sampled,num_new_elements,total_sample_size
1,1,74,74,74
1,2,87,72,146
1,3,97,80,226
1,4,88,62,288
1,5,85,58,346
1,6,88,58,404
1,7,96,65,469
1,8,95,68,537
1,9,87,52,589
1,10,89,54,643
2,1,75,75,75
2,2,81,69,144
2,3,91,72,216
2,4,88,68,284
2,5,88,61,345
2,6,90,58,403
2,7,89,54,457
2,8,90,55,512
2,9,89,59,571
2,10,90,56,627
3,1,82,82,82
3,2,81,69,151
3,3,83,63,214
3,4,87,53,267
3,5,89,54,321
3,6,87,57,378
3,7,85,56,434
3,8,79,39,473
3,9,93,52,525
3,10,88,46,571
4,1,79,79,79
4,2,84,65,144
4,3,77,61,205
4,4,88,62,267
4,5,79,60,327
4,6,91,59,386
4,7,90,59,445
4,8,90,54,499
4,9,85,54,553
4,10,87,57,610
5,1,78,78,78
5,2,76,61,139
5,3,79,56,195
5,4,75,49,244
5,5,83,56,300
5,6,86,56,356
5,7,84,58,414
5,8,92,55,469
5,9,87,54,523
5,10,88,50,573
