t,num_sampled,num_new_elements,total_sample_size
1,26,25,26
2,18,16,42
3,22,21,63
4,25,24,87
5,26,25,112
6,43,41,153
7,37,36,189
8,43,42,231
9,33,32,263
10,39,37,300
11,44,43,343
12,37,36,379
13,46,45,424
14,56,55,479
15,40,39,518
16,38,36,554
17,29,28,582
18,51,50,632
19,48,47,679
20,48,47,726
21,48,45,771
22,54,53,824
23,47,46,870
24,60,59,929
25,69,67,996
26,72,68,1064
27,63,61,1125
28,76,75,1200
29,62,61,1261
30,55,53,1314
31,68,67,1381
32,58,55,1436
33,59,58,1494
34,55,54,1548
35,64,63,1611
36,46,45,1656
37,76,75,1731
38,68,65,1796
39,70,69,1865
40,76,75,1940
41,81,80,2020
42,73,72,2092
43,70,69,2161
44,56,54,2215
45,51,49,2264
46,71,69,2333
47,91,90,2423
48,113,110,2533
49,94,93,2626
50,92,90,2716
