t,i,num_sampled,num_new_elements,total_sample_size
1,1,87,87,87
1,2,80,79,166
1,3,86,82,248
1,4,85,81,329
1,5,87,83,412
1,6,85,80,492
1,7,89,85,577
1,8,89,84,661
1,9,84,81,742
1,10,86,79,821
1,11,87,73,894
1,12,95,88,982
1,13,91,83,1065
1,14,84,78,1143
1,15,92,84,1227
1,16,90,79,1306
1,17,87,76,1382
1,18,93,87,1469
1,19,94,85,1554
1,20,91,79,1633
1,21,91,78,1711
1,22,90,78,1789
1,23,91,80,1869
1,24,90,76,1945
1,25,91,77,2022
2,1,75,75,75
2,2,91,90,165
2,3,88,87,252
2,4,87,85,337
2,5,87,84,421
2,6,84,77,498
2,7,85,79,577
2,8,90,81,658
2,9,94,91,749
2,10,88,83,832
2,11,91,81,913
2,12,86,78,991
2,13,92,84,1075
2,14,85,77,1152
2,15,92,85,1237
2,16,89,82,1319
2,17,93,80,1399
2,18,98,86,1485
2,19,87,77,1562
2,20,90,77,1639
2,21,91,81,1720
2,22,90,80,1800
2,23,86,71,1871
2,24,94,86,1957
2,25,83,68,2025
3,1,86,86,86
3,2,80,78,164
3,3,92,89,253
3,4,84,79,332
3,5,83,74,406
3,6,85,81,487
3,7,89,84,571
3,8,92,90,661
3,9,92,84,745
3,10,88,78,823
3,11,88,78,901
3,12,91,88,989
3,13,86,83,1072
3,14,91,77,1149
3,15,82,68,1217
3,16,92,84,1301
3,17,87,77,1378
3,18,91,82,1460
3,19,88,74,1534
3,20,87,73,1607
3,21,88,79,1686
3,22,88,74,1760
3,23,92,80,1840
3,24,91,80,1920
3,25,88,76,1996
4,1,82,82,82
4,2,89,88,170
4,3,84,83,253
4,4,86,81,334
4,5,82,74,408
4,6,89,86,494
4,7,87,82,576
4,8,82,77,653
4,9,86,76,729
4,10,86,77,806
4,11,89,82,888
4,12,84,78,966
4,13,91,80,1046
4,14,86,78,1124
4,15,87,80,1204
4,16,88,79,1283
4,17,86,81,1364
4,18,87,79,1443
4,19,83,74,1517
4,20,84,72,1589
4,21,92,83,1672
4,22,86,81,1753
4,23,91,82,1835
4,24,93,84,1919
4,25,95,79,1998
5,1,84,84,84
5,2,81,78,162
5,3,91,86,248
5,4,90,89,337
5,5,86,80,417
5,6,87,84,501
5,7,86,79,580
5,8,88,81,661
5,9,88,83,744
5,10,94,84,828
5,11,86,82,910
5,12,87,81,991
5,13,87,84,1075
5,14,86,73,1148
5,15,82,72,1220
5,16,94,92,1312
5,17,96,87,1399
5,18,83,70,1469
5,19,86,81,1550
5,20,83,69,1619
5,21,90,79,1698
5,22,91,76,1774
5,23,86,78,1852
5,24,87,80,1932
5,25,94,78,2010
6,1,90,90,90
6,2,82,81,171
6,3,91,88,259
6,4,89,87,346
6,5,90,85,431
6,6,84,74,505
6,7,87,80,585
6,8,79,74,659
6,9,84,81,740
6,10,89,82,822
6,11,87,81,903
6,12,83,76,979
6,13,94,88,1067
6,14,88,75,1142
6,15,96,85,1227
6,16,89,81,1308
6,17,94,84,1392
6,18,87,78,1470
6,19,84,75,1545
6,20,90,78,1623
6,21,88,77,1700
6,22,87,79,1779
6,23,87,74,1853
6,24,91,75,1928
6,25,87,77,2005
7,1,79,79,79
7,2,77,75,154
7,3,83,81,235
7,4,80,77,312
7,5,81,79,391
7,6,82,76,467
7,7,85,80,547
7,8,84,80,627
7,9,86,78,705
7,10,82,76,781
7,11,87,83,864
7,12,78,71,935
7,13,85,78,1013
7,14,78,70,1083
7,15,89,78,1161
7,16,81,70,1231
7,17,85,73,1304
7,18,91,78,1382
7,19,90,73,1455
7,20,89,76,1531
7,21,83,71,1602
7,22,86,75,1677
7,23,84,72,1749
7,24,90,76,1825
7,25,92,79,1904
8,1,72,72,72
8,2,73,71,143
8,3,80,77,220
8,4,75,70,290
8,5,88,84,374
8,6,85,82,456
8,7,85,79,535
8,8,79,73,608
8,9,92,84,692
8,10,87,79,771
8,11,89,77,848
8,12,83,72,920
8,13,87,77,997
8,14,83,67,1064
8,15,87,76,1140
8,16,92,75,1215
8,17,89,81,1296
8,18,84,72,1368
8,19,86,73,1441
8,20,88,73,1514
8,21,90,72,1586
8,22,88,75,1661
8,23,91,74,1735
8,24,82,73,1808
8,25,87,74,1882
9,1,73,73,73
9,2,70,68,141
9,3,79,77,218
9,4,64,61,279
9,5,74,69,348
9,6,81,80,428
9,7,81,71,499
9,8,80,71,570
9,9,82,76,646
9,10,83,78,724
9,11,80,71,795
9,12,86,74,869
9,13,85,77,946
9,14,90,81,1027
9,15,88,76,1103
9,16,83,71,1174
9,17,86,73,1247
9,18,87,69,1316
9,19,87,74,1390
9,20,83,71,1461
9,21,87,77,1538
9,22,84,70,1608
9,23,85,72,1680
9,24,89,72,1752
9,25,85,72,1824
10,1,86,86,86
10,2,79,76,162
10,3,73,70,232
10,4,75,73,305
10,5,75,70,375
10,6,76,74,449
10,7,78,72,521
10,8,87,82,603
10,9,78,65,668
10,10,85,77,745
10,11,89,80,825
10,12,83,74,899
10,13,86,75,974
10,14,85,77,1051
10,15,87,77,1128
10,16,87,78,1206
10,17,85,75,1281
10,18,85,75,1356
10,19,92,82,1438
10,20,89,79,1517
10,21,89,78,1595
10,22,85,77,1672
10,23,81,67,1739
10,24,79,74,1813
10,25,91,79,1892
11,1,79,79,79
11,2,76,73,152
11,3,81,79,231
11,4,80,73,304
11,5,85,81,385
11,6,85,80,465
11,7,85,82,547
11,8,80,74,621
11,9,84,79,700
11,10,87,80,780
11,11,82,77,857
11,12,85,73,930
11,13,80,73,1003
11,14,86,75,1078
11,15,86,79,1157
11,16,85,79,1236
11,17,84,74,1310
11,18,85,75,1385
11,19,85,70,1455
11,20,84,72,1527
11,21,90,77,1604
11,22,86,71,1675
11,23,95,82,1757
11,24,92,75,1832
11,25,91,75,1907
12,1,78,78,78
12,2,79,75,153
12,3,75,72,225
12,4,68,66,291
12,5,75,72,363
12,6,75,68,431
12,7,61,55,486
12,8,80,71,557
12,9,78,72,629
12,10,86,79,708
12,11,84,75,783
12,12,83,71,854
12,13,84,75,929
12,14,87,73,1002
12,15,80,70,1072
12,16,83,72,1144
12,17,82,67,1211
12,18,77,70,1281
12,19,83,70,1351
12,20,90,77,1428
12,21,83,70,1498
12,22,87,76,1574
12,23,80,66,1640
12,24,88,75,1715
12,25,83,72,1787
13,1,89,89,89
13,2,82,80,169
13,3,82,78,247
13,4,88,84,331
13,5,83,79,410
13,6,86,81,491
13,7,84,78,569
13,8,84,79,648
13,9,81,73,721
13,10,80,73,794
13,11,89,80,874
13,12,86,75,949
13,13,85,78,1027
13,14,80,73,1100
13,15,80,69,1169
13,16,84,73,1242
13,17,82,70,1312
13,18,85,78,1390
13,19,84,74,1464
13,20,88,69,1533
13,21,79,63,1596
13,22,83,68,1664
13,23,81,76,1740
13,24,90,78,1818
13,25,89,78,1896
14,1,74,74,74
14,2,75,71,145
14,3,78,77,222
14,4,74,68,290
14,5,79,77,367
14,6,77,72,439
14,7,73,66,505
14,8,81,76,581
14,9,79,73,654
14,10,76,68,722
14,11,76,64,786
14,12,79,70,856
14,13,78,70,926
14,14,82,72,998
14,15,76,61,1059
14,16,87,69,1128
14,17,78,67,1195
14,18,79,69,1264
14,19,70,64,1328
14,20,76,65,1393
14,21,78,65,1458
14,22,80,74,1532
14,23,82,74,1606
14,24,82,66,1672
14,25,76,64,1736
15,1,60,60,60
15,2,72,70,130
15,3,70,67,197
15,4,61,58,255
15,5,71,66,321
15,6,61,57,378
15,7,76,69,447
15,8,68,64,511
15,9,70,63,574
15,10,74,69,643
15,11,73,67,710
15,12,69,60,770
15,13,77,66,836
15,14,82,65,901
15,15,76,68,969
15,16,62,53,1022
15,17,81,70,1092
15,18,77,61,1153
15,19,82,61,1214
15,20,77,63,1277
15,21,77,64,1341
15,22,78,69,1410
15,23,78,60,1470
15,24,77,68,1538
15,25,79,69,1607
16,1,65,65,65
16,2,64,63,128
16,3,72,70,198
16,4,70,68,266
16,5,74,70,336
16,6,62,57,393
16,7,67,63,456
16,8,65,61,517
16,9,66,62,579
16,10,71,67,646
16,11,73,66,712
16,12,72,64,776
16,13,71,63,839
16,14,81,71,910
