t,i,num_sampled,num_new_elements,total_sample_size
1,1,29,29,29
1,2,44,21,50
1,3,48,17,67
1,4,55,18,85
1,5,68,17,102
1,6,87,30,132
1,7,84,20,152
1,8,93,31,183
2,1,13,13,13
2,2,28,17,30
2,3,56,37,67
2,4,77,32,99
2,5,116,51,150
2,6,149,63,213
2,7,158,48,261
2,8,164,41,302
3,1,19,19,19
3,2,45,29,48
3,3,71,40,88
3,4,100,43,131
3,5,131,54,185
3,6,147,54,239
3,7,162,48,287
3,8,176,41,328
4,1,18,18,18
4,2,37,23,41
4,3,63,38,79
4,4,87,39,118
4,5,113,46,164
4,6,139,59,223
4,7,157,54,277
4,8,167,47,324
5,1,15,15,15
5,2,33,20,35
5,3,55,28,63
5,4,87,43,106
5,5,109,46,152
5,6,129,49,201
5,7,137,45,246
5,8,163,54,300
6,1,13,13,13
6,2,27,15,28
6,3,56,33,61
6,4,91,47,108
6,5,119,52,160
6,6,160,71,231
6,7,179,58,289
6,8,201,57,346
7,1,16,16,16
7,2,24,11,27
7,3,49,27,54
7,4,76,41,95
7,5,113,55,150
7,6,125,47,197
7,7,149,42,239
7,8,172,59,298
8,1,16,16,16
8,2,33,22,38
8,3,62,33,71
8,4,85,44,115
8,5,128,61,176
8,6,142,52,228
8,7,179,55,283
8,8,188,48,331
9,1,14,14,14
9,2,31,21,35
9,3,61,37,72
9,4,97,52,124
9,5,124,55,179
9,6,163,63,242
9,7,161,50,292
9,8,198,59,351
10,1,17,17,17
10,2,30,17,34
10,3,47,28,62
10,4,79,38,100
10,5,106,48,148
10,6,117,42,190
10,7,135,46,236
10,8,140,35,271
11,1,16,16,16
11,2,36,23,39
11,3,66,38,77
11,4,96,44,121
11,5,131,56,177
11,6,153,52,229
11,7,164,44,273
11,8,185,49,322
12,1,14,14,14
12,2,29,15,29
12,3,44,24,53
12,4,65,30,83
12,5,79,35,118
12,6,100,36,154
12,7,113,38,192
12,8,135,44,236
